feedback_id,date,feedback,source,cleaned_text,sentiment,sentiment_score,sentiment_confidence,topics,keywords,emotion,aspect_sentiments,severity,severity_reason,priority,priority_score,priority_reason,department,department_reason,impact_level,impact_reason,action,action_reason,recommendation,recommendation_reason,suggested_next_step,recommendation_status,validation_status
FB0003,2026-06-01,campus wifi is actually decent,Course Feedback,campus wifi is actually decent,Positive,0.9996,0.9996,"[""Campus Wifi""]","[""campus wifi""]",Satisfaction,"[{""aspect"": ""Campus Wifi"", ""sentiment"": ""Positive""}]",LOW,No strong operational or safety signal was found.,P4,0.25,Priority is based on severity (LOW) and assessed impact.,IT,Matched the analyzed topic/keyword 'wifi' to IT.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,MONITOR,Low-risk feedback can be monitored.,Monitor this low-severity issue with the IT department.,The LangGraph decision classified this issue as LOW severity with P4 priority.,Ask IT to review the feedback and complete the monitor action.,FALLBACK,VALID
FB0359,2026-06-01,lift doesnt work sometimes,Survey,lift doesnt work sometimes,Negative,0.9955,0.9955,"[""Lift""]","[""lift""]",Frustration,"[{""aspect"": ""Lift"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,Facilities,Matched the analyzed topic/keyword 'lift' to Facilities.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the Facilities department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask Facilities to review the feedback and complete the create task action.,FALLBACK,VALID
FB0924,2026-06-01,placement updates are very late tbh,Complaint,placement updates are very late tbh,Negative,0.9989,0.9989,"[""Placement Updates""]","[""placement updates"", ""late""]",Frustration,"[{""aspect"": ""Placement Updates"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,Facilities,Matched the analyzed topic/keyword 'ac' to Facilities.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the Facilities department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask Facilities to review the feedback and complete the create task action.,FALLBACK,VALID
FB1005,2026-06-01,Not sure what happened but new classrooms are really good and faculty is approachable. imo,Student Portal,Not sure what happened but new classrooms are really good and faculty is approachable. imo,Mixed,0.9994,0.9994,"[""New Classrooms"", ""Faculty""]","[""new classrooms"", ""faculty""]",Concern,"[{""aspect"": ""Sure What"", ""sentiment"": ""Negative""}, {""aspect"": ""New Classrooms"", ""sentiment"": ""Positive""}]",MEDIUM,Mixed feedback contains a concern that merits follow-up.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,Facilities,Matched the analyzed topic/keyword 'ac' to Facilities.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the Facilities department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask Facilities to review the feedback and complete the create task action.,FALLBACK,VALID
FB1015,2026-06-01,washrooms need better maintenance...,Complaint,washrooms need better maintenance...,Negative,0.999,0.999,"[""Washrooms""]","[""washrooms"", ""maintenance""]",Frustration,"[{""aspect"": ""Washrooms"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,Facilities,Matched the analyzed topic/keyword 'washroom' to Facilities.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the Facilities department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask Facilities to review the feedback and complete the create task action.,FALLBACK,VALID
FB1043,2026-06-01,"good experience with internet is painfully slow in the evening, bad experience with too many last minute changes...",Suggestion Box,"good experience with internet is painfully slow in the evening, bad experience with too many last minute changes...",Negative,0.9992,0.9992,"[""Last Minute Changes"", ""Experience""]","[""last minute changes"", ""experience"", ""evening"", ""internet"", ""slow""]",Frustration,"[{""aspect"": ""Experience Internet"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,IT,Matched the analyzed topic/keyword 'internet' to IT.,SMALL_GROUP,Plural or group-oriented language indicates impact beyond one individual.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the IT department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask IT to review the feedback and complete the create task action.,FALLBACK,VALID
FB1124,2026-06-01,attendance pressure is too much tbh,Student Portal,attendance pressure is too much tbh,Negative,0.9994,0.9994,"[""Attendance Pressure""]","[""attendance pressure""]",Frustration,"[{""aspect"": ""Attendance Pressure"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,Academic Affairs,Matched the analyzed topic/keyword 'attendance' to Academic Affairs.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the Academic Affairs department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask Academic Affairs to review the feedback and complete the create task action.,FALLBACK,VALID
FB1136,2026-06-01,"some equipment is outdated is great, although lab building needs maintenance.",Student Portal,"some equipment is outdated is great, although lab building needs maintenance.",Negative,0.9988,0.9988,"[""Lab Building"", ""Equipment""]","[""lab building"", ""maintenance"", ""outdated"", ""equipment""]",Frustration,"[{""aspect"": ""Some Equipment"", ""sentiment"": ""Negative""}, {""aspect"": ""Lab Building"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,Facilities,Matched the analyzed topic/keyword 'maintenance' to Facilities.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the Facilities department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask Facilities to review the feedback and complete the create task action.,FALLBACK,VALID
FB1155,2026-06-01,network dies during online tests,Complaint,network dies during online tests,Negative,0.9998,0.9998,"[""Online Tests"", ""Network""]","[""network dies"", ""online tests""]",Frustration,"[{""aspect"": ""Network"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,IT,Matched the analyzed topic/keyword 'network' to IT.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the IT department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask IT to review the feedback and complete the create task action.,FALLBACK,VALID
FB0202,2026-06-02,placement process is confusing,Course Feedback,placement process is confusing,Negative,0.9992,0.9992,"[""Placement Process""]","[""placement process"", ""confusing""]",Frustration,"[{""aspect"": ""Placement Process"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,Facilities,Matched the analyzed topic/keyword 'ac' to Facilities.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the Facilities department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask Facilities to review the feedback and complete the create task action.,FALLBACK,VALID
FB0288,2026-06-02,Overall okay. chairs are uncomfortable but the lectures are kinda boring. imo,WhatsApp Feedback,Overall okay. chairs are uncomfortable but the lectures are kinda boring. imo,Negative,0.996,0.996,"[""Boring"", ""Chairs""]","[""boring"", ""chairs"", ""lectures"", ""overall""]",Frustration,"[{""aspect"": ""Overall Chairs"", ""sentiment"": ""Positive""}, {""aspect"": ""Lectures Kinda"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,General Services,No configured topic match was found; routing to General Services.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the General Services department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask General Services to review the feedback and complete the create task action.,FALLBACK,VALID
FB0412,2026-06-02,fans make weird noise achha hai,Survey,fans make weird noise achha hai,Negative,0.9704,0.9704,"[""Weird Noise"", ""Fans""]","[""weird noise"", ""fans""]",Frustration,"[{""aspect"": ""Fans Make"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,Facilities,Matched the analyzed topic/keyword 'fans' to Facilities.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the Facilities department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask Facilities to review the feedback and complete the create task action.,FALLBACK,VALID
FB0591,2026-06-02,network was terrible today + prof explains things really well both need attention.,Suggestion Box,network was terrible today + prof explains things really well both need attention.,Negative,0.9883,0.9883,"[""Prof Explains Things"", ""Attention""]","[""prof explains things"", ""attention"", ""network""]",Frustration,"[{""aspect"": ""Network Today Prof Explains Things Well Both"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,IT,Matched the analyzed topic/keyword 'network' to IT.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the IT department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask IT to review the feedback and complete the create task action.,FALLBACK,VALID
FB0871,2026-06-02,lab computers are extremely slow lol!!!,Course Feedback,lab computers are extremely slow lol!!!,Negative,0.999,0.999,"[""Lab Computers""]","[""lab computers"", ""slow""]",Frustration,"[{""aspect"": ""Lab Computers"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,IT,Matched the analyzed topic/keyword 'computer' to IT.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the IT department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask IT to review the feedback and complete the create task action.,FALLBACK,VALID
FB0953,2026-06-02,professor is very supportive please look into this,Survey,professor is very supportive please look into this,Positive,0.9998,0.9998,"[""Professor""]","[""professor""]",Satisfaction,"[{""aspect"": ""Professor Supportive"", ""sentiment"": ""Positive""}]",LOW,No strong operational or safety signal was found.,P4,0.25,Priority is based on severity (LOW) and assessed impact.,Academic Affairs,Matched the analyzed topic/keyword 'professor' to Academic Affairs.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,MONITOR,Low-risk feedback can be monitored.,Monitor this low-severity issue with the Academic Affairs department.,The LangGraph decision classified this issue as LOW severity with P4 priority.,Ask Academic Affairs to review the feedback and complete the monitor action.,FALLBACK,VALID
FB0954,2026-06-02,lab equipment is good,Course Feedback,lab equipment is good,Positive,0.9998,0.9998,"[""Lab Equipment""]","[""lab equipment""]",Satisfaction,"[{""aspect"": ""Lab Equipment"", ""sentiment"": ""Positive""}]",LOW,No strong operational or safety signal was found.,P4,0.25,Priority is based on severity (LOW) and assessed impact.,Facilities,Matched the analyzed topic/keyword 'lab equipment' to Facilities.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,MONITOR,Low-risk feedback can be monitored.,Monitor this low-severity issue with the Facilities department.,The LangGraph decision classified this issue as LOW severity with P4 priority.,Ask Facilities to review the feedback and complete the monitor action.,FALLBACK,VALID
FB0995,2026-06-02,not enough working PCs tbh,Course Feedback,not enough working PCs tbh,Negative,0.9997,0.9997,"[""Pcs""]","[""pcs""]",Frustration,"[{""aspect"": ""Working Pcs"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,IT,Matched the analyzed topic/keyword 'pc' to IT.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the IT department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask IT to review the feedback and complete the create task action.,FALLBACK,VALID
FB0998,2026-06-02,average experience imo,Course Feedback,average experience imo,Negative,0.8988,0.8988,"[""Average Experience""]","[""average experience""]",Frustration,"[{""aspect"": ""Average Experience"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,General Services,No configured topic match was found; routing to General Services.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the General Services department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask General Services to review the feedback and complete the create task action.,FALLBACK,VALID
FB1014,2026-06-02,library closes too early,Student Portal,library closes too early,Negative,0.9991,0.9991,"[""Library""]","[""early"", ""library""]",Frustration,"[{""aspect"": ""Library"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,Library,Matched the analyzed topic/keyword 'library' to Library.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the Library department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask Library to review the feedback and complete the create task action.,FALLBACK,VALID
FB1157,2026-06-02,faculty is approachable btw,Course Feedback,faculty is approachable btw,Positive,0.9981,0.9981,"[""Btw"", ""Faculty""]","[""btw"", ""faculty""]",Joy,"[{""aspect"": ""Faculty Approachable"", ""sentiment"": ""Positive""}]",LOW,No strong operational or safety signal was found.,P4,0.25,Priority is based on severity (LOW) and assessed impact.,Facilities,Matched the analyzed topic/keyword 'ac' to Facilities.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,MONITOR,Low-risk feedback can be monitored.,Monitor this low-severity issue with the Facilities department.,The LangGraph decision classified this issue as LOW severity with P4 priority.,Ask Facilities to review the feedback and complete the monitor action.,FALLBACK,VALID
FB1187,2026-06-02,placement updates are very late lol,Complaint,placement updates are very late lol,Negative,0.9994,0.9994,"[""Placement Updates""]","[""placement updates"", ""late""]",Frustration,"[{""aspect"": ""Placement Updates"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,Facilities,Matched the analyzed topic/keyword 'ac' to Facilities.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the Facilities department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask Facilities to review the feedback and complete the create task action.,FALLBACK,VALID
FB1200,2026-06-02,not enough working PCs,WhatsApp Feedback,not enough working PCs,Negative,0.9997,0.9997,"[""Pcs""]","[""pcs""]",Frustration,"[{""aspect"": ""Working Pcs"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,IT,Matched the analyzed topic/keyword 'pc' to IT.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the IT department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask IT to review the feedback and complete the create task action.,FALLBACK,VALID
FB0018,2026-06-03,attendance pressure is too much samajh nahi aata!!!,Suggestion Box,attendance pressure is too much samajh nahi aata!!!,Negative,0.9997,0.9997,"[""Samajh Nahi Aata"", ""Attendance Pressure""]","[""samajh nahi aata"", ""attendance pressure""]",Frustration,"[{""aspect"": ""Attendance Pressure"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,Academic Affairs,Matched the analyzed topic/keyword 'attendance' to Academic Affairs.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the Academic Affairs department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask Academic Affairs to review the feedback and complete the create task action.,FALLBACK,VALID
FB0157,2026-06-03,good study environment,Suggestion Box,good study environment,Positive,0.9999,0.9999,"[""Study Environment""]","[""study environment""]",Satisfaction,"[{""aspect"": ""Study Environment"", ""sentiment"": ""Positive""}]",LOW,No strong operational or safety signal was found.,P4,0.25,Priority is based on severity (LOW) and assessed impact.,General Services,No configured topic match was found; routing to General Services.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,MONITOR,Low-risk feedback can be monitored.,Monitor this low-severity issue with the General Services department.,The LangGraph decision classified this issue as LOW severity with P4 priority.,Ask General Services to review the feedback and complete the monitor action.,FALLBACK,VALID
